"Field","ID","Type (種類)","default","en-us","ja-jp"
"DesktopScreenshotCaption7","156","テキスト","","",""
"DesktopScreenshotCaption8","157","テキスト","","",""
"DesktopScreenshotCaption9","158","テキスト","","",""
"DesktopScreenshotCaption10","159","テキスト","","",""
"DesktopScreenshotCaption11","160","テキスト","","",""
"DesktopScreenshotCaption12","161","テキスト","","",""
"DesktopScreenshotCaption13","162","テキスト","","",""
"DesktopScreenshotCaption14","163","テキスト","","",""
"DesktopScreenshotCaption15","164","テキスト","","",""
"DesktopScreenshotCaption16","165","テキスト","","",""
"DesktopScreenshotCaption17","166","テキスト","","",""
"DesktopScreenshotCaption18","167","テキスト","","",""
"DesktopScreenshotCaption19","168","テキスト","","",""
"DesktopScreenshotCaption20","169","テキスト","","",""
"DesktopScreenshotCaption21","170","テキスト","","",""
"DesktopScreenshotCaption22","171","テキスト","","",""
"DesktopScreenshotCaption23","172","テキスト","","",""
"DesktopScreenshotCaption24","173","テキスト","","",""
"DesktopScreenshotCaption25","174","テキスト","","",""
"DesktopScreenshotCaption26","175","テキスト","","",""
"DesktopScreenshotCaption27","176","テキスト","","",""
"DesktopScreenshotCaption28","177","テキスト","","",""
"DesktopScreenshotCaption29","178","テキスト","","",""
"DesktopScreenshotCaption30","179","テキスト","","",""
"MobileScreenshot1","200","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot2","201","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot3","202","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot4","203","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot5","204","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot6","205","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot7","206","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot8","207","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot9","208","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot10","209","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot11","210","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot12","211","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot13","212","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot14","213","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot15","214","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot16","215","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot17","216","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot18","217","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot19","218","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot20","219","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot21","220","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot22","221","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot23","222","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot24","223","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot25","224","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot26","225","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot27","226","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot28","227","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot29","228","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshot30","229","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"MobileScreenshotCaption1","250","テキスト","","",""
"MobileScreenshotCaption2","251","テキスト","","",""
"MobileScreenshotCaption3","252","テキスト","","",""
"MobileScreenshotCaption4","253","テキスト","","",""
"MobileScreenshotCaption5","254","テキスト","","",""
"MobileScreenshotCaption6","255","テキスト","","",""
"MobileScreenshotCaption7","256","テキスト","","",""
"MobileScreenshotCaption8","257","テキスト","","",""
"MobileScreenshotCaption9","258","テキスト","","",""
"MobileScreenshotCaption10","259","テキスト","","",""
"MobileScreenshotCaption11","260","テキスト","","",""
"MobileScreenshotCaption12","261","テキスト","","",""
"MobileScreenshotCaption13","262","テキスト","","",""
"MobileScreenshotCaption14","263","テキスト","","",""
"MobileScreenshotCaption15","264","テキスト","","",""
"MobileScreenshotCaption16","265","テキスト","","",""
"MobileScreenshotCaption17","266","テキスト","","",""
"MobileScreenshotCaption18","267","テキスト","","",""
"MobileScreenshotCaption19","268","テキスト","","",""
"MobileScreenshotCaption20","269","テキスト","","",""
"MobileScreenshotCaption21","270","テキスト","","",""
"MobileScreenshotCaption22","271","テキスト","","",""
"MobileScreenshotCaption23","272","テキスト","","",""
"MobileScreenshotCaption24","273","テキスト","","",""
"MobileScreenshotCaption25","274","テキスト","","",""
"MobileScreenshotCaption26","275","テキスト","","",""
"MobileScreenshotCaption27","276","テキスト","","",""
"MobileScreenshotCaption28","277","テキスト","","",""
"MobileScreenshotCaption29","278","テキスト","","",""
"MobileScreenshotCaption30","279","テキスト","","",""
"XboxScreenshot1","300","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot2","301","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot3","302","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot4","303","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot5","304","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot6","305","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot7","306","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot8","307","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot9","308","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot10","309","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot11","310","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot12","311","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot13","312","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot14","313","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot15","314","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot16","315","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot17","316","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot18","317","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot19","318","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot20","319","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot21","320","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot22","321","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot23","322","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot24","323","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot25","324","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot26","325","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot27","326","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot28","327","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot29","328","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshot30","329","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxScreenshotCaption1","350","テキスト","","",""
"XboxScreenshotCaption2","351","テキスト","","",""
"XboxScreenshotCaption3","352","テキスト","","",""
"XboxScreenshotCaption4","353","テキスト","","",""
"XboxScreenshotCaption5","354","テキスト","","",""
"XboxScreenshotCaption6","355","テキスト","","",""
"XboxScreenshotCaption7","356","テキスト","","",""
"XboxScreenshotCaption8","357","テキスト","","",""
"XboxScreenshotCaption9","358","テキスト","","",""
"XboxScreenshotCaption10","359","テキスト","","",""
"XboxScreenshotCaption11","360","テキスト","","",""
"XboxScreenshotCaption12","361","テキスト","","",""
"XboxScreenshotCaption13","362","テキスト","","",""
"XboxScreenshotCaption14","363","テキスト","","",""
"XboxScreenshotCaption15","364","テキスト","","",""
"XboxScreenshotCaption16","365","テキスト","","",""
"XboxScreenshotCaption17","366","テキスト","","",""
"XboxScreenshotCaption18","367","テキスト","","",""
"XboxScreenshotCaption19","368","テキスト","","",""
"XboxScreenshotCaption20","369","テキスト","","",""
"XboxScreenshotCaption21","370","テキスト","","",""
"XboxScreenshotCaption22","371","テキスト","","",""
"XboxScreenshotCaption23","372","テキスト","","",""
"XboxScreenshotCaption24","373","テキスト","","",""
"XboxScreenshotCaption25","374","テキスト","","",""
"XboxScreenshotCaption26","375","テキスト","","",""
"XboxScreenshotCaption27","376","テキスト","","",""
"XboxScreenshotCaption28","377","テキスト","","",""
"XboxScreenshotCaption29","378","テキスト","","",""
"XboxScreenshotCaption30","379","テキスト","","",""
"HolographicScreenshot1","400","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot2","401","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot3","402","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot4","403","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot5","404","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot6","405","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot7","406","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot8","407","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot9","408","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot10","409","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot11","410","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot12","411","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot13","412","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot14","413","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot15","414","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot16","415","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot17","416","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot18","417","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot19","418","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot20","419","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot21","420","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot22","421","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot23","422","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot24","423","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot25","424","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot26","425","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot27","426","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot28","427","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot29","428","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshot30","429","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"HolographicScreenshotCaption1","450","テキスト","","",""
"HolographicScreenshotCaption2","451","テキスト","","",""
"HolographicScreenshotCaption3","452","テキスト","","",""
"HolographicScreenshotCaption4","453","テキスト","","",""
"HolographicScreenshotCaption5","454","テキスト","","",""
"HolographicScreenshotCaption6","455","テキスト","","",""
"HolographicScreenshotCaption7","456","テキスト","","",""
"HolographicScreenshotCaption8","457","テキスト","","",""
"HolographicScreenshotCaption9","458","テキスト","","",""
"HolographicScreenshotCaption10","459","テキスト","","",""
"HolographicScreenshotCaption11","460","テキスト","","",""
"HolographicScreenshotCaption12","461","テキスト","","",""
"HolographicScreenshotCaption13","462","テキスト","","",""
"HolographicScreenshotCaption14","463","テキスト","","",""
"HolographicScreenshotCaption15","464","テキスト","","",""
"HolographicScreenshotCaption16","465","テキスト","","",""
"HolographicScreenshotCaption17","466","テキスト","","",""
"HolographicScreenshotCaption18","467","テキスト","","",""
"HolographicScreenshotCaption19","468","テキスト","","",""
"HolographicScreenshotCaption20","469","テキスト","","",""
"HolographicScreenshotCaption21","470","テキスト","","",""
"HolographicScreenshotCaption22","471","テキスト","","",""
"HolographicScreenshotCaption23","472","テキスト","","",""
"HolographicScreenshotCaption24","473","テキスト","","",""
"HolographicScreenshotCaption25","474","テキスト","","",""
"HolographicScreenshotCaption26","475","テキスト","","",""
"HolographicScreenshotCaption27","476","テキスト","","",""
"HolographicScreenshotCaption28","477","テキスト","","",""
"HolographicScreenshotCaption29","478","テキスト","","",""
"HolographicScreenshotCaption30","479","テキスト","","",""
"SurfaceHubScreenshot11","510","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot12","511","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot13","512","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot14","513","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot15","514","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot16","515","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot17","516","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot18","517","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot19","518","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot20","519","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot21","520","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot22","521","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot23","522","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot24","523","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot25","524","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot26","525","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot27","526","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot28","527","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot29","528","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshot30","529","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"SurfaceHubScreenshotCaption11","560","テキスト","","",""
"SurfaceHubScreenshotCaption12","561","テキスト","","",""
"SurfaceHubScreenshotCaption13","562","テキスト","","",""
"SurfaceHubScreenshotCaption14","563","テキスト","","",""
"SurfaceHubScreenshotCaption15","564","テキスト","","",""
"SurfaceHubScreenshotCaption16","565","テキスト","","",""
"SurfaceHubScreenshotCaption17","566","テキスト","","",""
"SurfaceHubScreenshotCaption18","567","テキスト","","",""
"SurfaceHubScreenshotCaption19","568","テキスト","","",""
"SurfaceHubScreenshotCaption20","569","テキスト","","",""
"SurfaceHubScreenshotCaption21","570","テキスト","","",""
"SurfaceHubScreenshotCaption22","571","テキスト","","",""
"SurfaceHubScreenshotCaption23","572","テキスト","","",""
"SurfaceHubScreenshotCaption24","573","テキスト","","",""
"SurfaceHubScreenshotCaption25","574","テキスト","","",""
"SurfaceHubScreenshotCaption26","575","テキスト","","",""
"SurfaceHubScreenshotCaption27","576","テキスト","","",""
"SurfaceHubScreenshotCaption28","577","テキスト","","",""
"SurfaceHubScreenshotCaption29","578","テキスト","","",""
"SurfaceHubScreenshotCaption30","579","テキスト","","",""
"StoreLogo720x1080","600","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"StoreLogo1080x1080","601","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"StoreLogo300x300","602","相対パス (またはパートナー センターにあるファイルへの URL)","","store/store_logo_300x300.png","store/store_logo_300x300.png"
"OverrideLogosForWin10","603","True/False","","",""
"StoreLogoOverride150x150","604","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"StoreLogoOverride71x71","605","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"PromoImage1920x1080","606","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"PromoImage2400x1200","607","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxBrandedKeyArt584x800","608","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxTitledHero1920x1080","609","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"XboxFeaturedPromo1080x1080","610","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"OptionalPromo358x358","611","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"OptionalPromo1000x800","612","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"OptionalPromo414x180","613","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Feature1","700","テキスト","","Move files from OneDrive to SharePoint Online or Dropbox.","OneDrive から SharePoint Online または Dropbox へ移行"
"Feature2","701","テキスト","","Resume interrupted transfers from local migration state.","中断した転送をローカル状態から再開"
"Feature3","702","テキスト","","Upload large files in chunks with retry support.","大容量ファイルをチャンク分割してリトライ"
"Feature4","703","テキスト","","Crawl nested folders and preserve relative paths.","入れ子のフォルダーを走査し相対パスを維持"
"Feature5","704","テキスト","","Monitor progress, phases, and errors in the Dashboard.","Dashboard で進捗・フェーズ・エラーを確認"
"Feature6","705","テキスト","","Review structured transfer logs for operational troubleshooting.","運用調査向けの構造化転送ログを確認"
"Feature7","706","テキスト","","Use Windows Credential Manager or environment variables for credentials.","Windows Credential Manager または環境変数で認証情報を管理"
"Feature8","707","テキスト","","",""
"Feature9","708","テキスト","","",""
"Feature10","709","テキスト","","",""
"Feature11","710","テキスト","","",""
"Feature12","711","テキスト","","",""
"Feature13","712","テキスト","","",""
"Feature14","713","テキスト","","",""
"Feature15","714","テキスト","","",""
"Feature16","715","テキスト","","",""
"Feature17","716","テキスト","","",""
"Feature18","717","テキスト","","",""
"Feature19","718","テキスト","","",""
"Feature20","719","テキスト","","",""
"MinimumHardwareReq1","800","テキスト","","",""
"MinimumHardwareReq2","801","テキスト","","",""
"MinimumHardwareReq3","802","テキスト","","",""
"MinimumHardwareReq4","803","テキスト","","",""
"MinimumHardwareReq5","804","テキスト","","",""
"MinimumHardwareReq6","805","テキスト","","",""
"MinimumHardwareReq7","806","テキスト","","",""
"MinimumHardwareReq8","807","テキスト","","",""
"MinimumHardwareReq9","808","テキスト","","",""
"MinimumHardwareReq10","809","テキスト","","",""
"MinimumHardwareReq11","810","テキスト","","",""
"RecommendedHardwareReq1","850","テキスト","","",""
"RecommendedHardwareReq2","851","テキスト","","",""
"RecommendedHardwareReq3","852","テキスト","","",""
"RecommendedHardwareReq4","853","テキスト","","",""
"RecommendedHardwareReq5","854","テキスト","","",""
"RecommendedHardwareReq6","855","テキスト","","",""
"RecommendedHardwareReq7","856","テキスト","","",""
"RecommendedHardwareReq8","857","テキスト","","",""
"RecommendedHardwareReq9","858","テキスト","","",""
"RecommendedHardwareReq10","859","テキスト","","",""
"RecommendedHardwareReq11","860","テキスト","","",""
"SearchTerm1","900","テキスト","","cloud migration","クラウド移行"
"SearchTerm2","901","テキスト","","OneDrive migration","OneDrive 移行"
"SearchTerm3","902","テキスト","","SharePoint migration","SharePoint 移行"
"SearchTerm4","903","テキスト","","Dropbox migration","Dropbox 移行"
"SearchTerm5","904","テキスト","","large file transfer","大容量 転送"
"SearchTerm6","905","テキスト","","resumable transfer","再開可能 転送"
"SearchTerm7","906","テキスト","","Windows migration","Windows 移行"
"TrailerToPlayAtTopOfListing","999","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer1","1000","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer2","1001","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer3","1002","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer4","1003","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer5","1004","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer6","1005","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer7","1006","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer8","1007","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer9","1008","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer10","1009","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer11","1010","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer12","1011","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer13","1012","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer14","1013","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"Trailer15","1014","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"TrailerTitle1","1020","テキスト","","",""
"TrailerTitle2","1021","テキスト","","",""
"TrailerTitle3","1022","テキスト","","",""
"TrailerTitle4","1023","テキスト","","",""
"TrailerTitle5","1024","テキスト","","",""
"TrailerTitle6","1025","テキスト","","",""
"TrailerTitle7","1026","テキスト","","",""
"TrailerTitle8","1027","テキスト","","",""
"TrailerTitle9","1028","テキスト","","",""
"TrailerTitle10","1029","テキスト","","",""
"TrailerTitle11","1030","テキスト","","",""
"TrailerTitle12","1031","テキスト","","",""
"TrailerTitle13","1032","テキスト","","",""
"TrailerTitle14","1033","テキスト","","",""
"TrailerTitle15","1034","テキスト","","",""
"TrailerThumbnail1","1040","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"TrailerThumbnail2","1041","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"TrailerThumbnail3","1042","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"TrailerThumbnail4","1043","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"TrailerThumbnail5","1044","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
"TrailerThumbnail6","1045","相対パス (またはパートナー センターにあるファイルへの URL)","","",""
